* Measurement data measured by REW V5.19
* Source: D:\Downloads\Toole.csv
* Format: Comma/Tab/Space delimited data
* Dated: Oct 1, 2020 8:33:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from D:\Downloads\Toole.csv Format: Comma/Tab/Space delimited data 248 values loaded, 21 Hz to 19,356 Hz
* Measurement: Toole.csv
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
319.616 1.943 0
319.866 1.942 0
320.116 1.941 0
320.366 1.941 0
320.616 1.940 0
320.866 1.939 0
321.116 1.938 0
321.366 1.937 0
321.616 1.937 0
321.866 1.936 0
322.116 1.935 0
322.366 1.934 0
322.616 1.934 0
322.866 1.933 0
323.116 1.932 0
323.366 1.931 0
323.616 1.931 0
323.866 1.930 0
324.116 1.929 0
324.366 1.928 0
324.616 1.928 0
324.866 1.927 0
325.116 1.926 0
325.366 1.925 0
325.616 1.924 0
325.866 1.924 0
326.116 1.923 0
326.366 1.922 0
326.616 1.921 0
326.866 1.921 0
327.116 1.920 0
327.366 1.919 0
327.616 1.918 0
327.866 1.918 0
328.116 1.917 0
328.366 1.916 0
328.616 1.915 0
328.866 1.915 0
329.116 1.914 0
329.366 1.913 0
329.616 1.912 0
329.866 1.912 0
330.116 1.911 0
330.366 1.910 0
330.616 1.909 0
330.866 1.909 0
